Year,District,Season,Rainfall_mm,Temperature_K,Area_hectare,N,P,K,Production_tonnes,Yield_tph,Crop
1997,BANGALORE RURAL,Kharif     ,1017.719873,300.3654188,11240,101,68,69,26256,2.33594306,Rice
1997,BANGALORE RURAL,Rabi       ,1014.831997,300.2537697,195,142,22,98,422,2.164102564,Rice
1997,BANGALORE RURAL,Summer     ,1017.462387,299.3068834,4350,64,39,47,12398,2.850114943,Rice
1997,BELGAUM,Kharif     ,1016.181507,299.8139011,58549,121,39,61,181319,3.096876121,Maize
1997,BELGAUM,Rabi       ,1016.66236,298.9816069,26432,110,72,99,50103,1.895543281,Maize
1997,BELGAUM,Summer     ,1017.597475,299.5418226,3484,70,49,95,6721,1.929104478,Maize
1997,BELGAUM,Kharif     ,1017.629134,299.8367439,2501,132,54,88,2525,1.009596162,Ragi
1997,BELGAUM,Kharif     ,1015.291614,299.8557169,63734,136,54,20,91677,1.438431606,Rice
1997,BELGAUM,Summer     ,1017.704124,299.6194202,40,124,68,58,114,2.85,Rice
1997,BELLARY,Kharif     ,1014.565313,304.070975,73445,124,58,36,217603,2.962802097,Maize
1997,BELLARY,Rabi       ,1016.580843,303.9058292,600,137,46,54,1225,2.041666667,Maize
1997,BELLARY,Summer     ,1017.3833,304.7202412,267,149,45,65,578,2.164794007,Maize
1997,BELLARY,Kharif     ,1014.054475,304.6447795,17185,73,33,61,12676,0.737620017,Ragi
1997,BELLARY,Rabi       ,1015.422314,304.9688856,31,52,36,58,37,1.193548387,Ragi
1997,BELLARY,Kharif     ,1017.245517,303.7372282,34112,71,37,68,96733,2.835746951,Rice
1997,BELLARY,Summer     ,1014.990501,303.4412473,23573,102,64,81,65571,2.781614559,Rice
1997,BENGALURU URBAN,Kharif     ,1017.645989,301.859833,5972,51,71,57,16426,2.750502344,Maize
1997,BENGALURU URBAN,Rabi       ,1017.211012,301.3810473,339,137,48,42,694,2.04719764,Maize
1997,BENGALURU URBAN,Summer     ,1016.396372,301.0696239,440,79,39,41,953,2.165909091,Maize
1997,BENGALURU URBAN,Kharif     ,1014.646441,301.4644615,178931,87,72,23,309672,1.730678306,Ragi
1997,BENGALURU URBAN,Rabi       ,1014.98716,302.270269,961,51,46,68,1303,1.355879292,Ragi
1997,BENGALURU URBAN,Summer     ,1017.4401,302.4201205,2040,113,37,78,3777,1.851470588,Ragi
1997,BENGALURU URBAN,Kharif     ,1015.782673,302.5170381,3507,109,23,92,11033,3.145993727,Rice
1997,BENGALURU URBAN,Summer     ,1014.995942,301.3597427,1252,70,20,87,3490,2.787539936,Rice
1997,BIDAR,Kharif     ,1017.124114,300.0654074,292,82,69,90,522,1.787671233,Maize
1997,BIDAR,Rabi       ,1014.787479,299.9131339,38,125,20,21,68,1.789473684,Maize
1997,BIDAR,Summer     ,1015.161542,299.2802345,18,107,77,68,39,2.166666667,Maize
1997,BIDAR,Kharif     ,1016.235731,300.3484292,9385,71,45,50,6109,0.650932339,Rice
1997,BIDAR,Rabi       ,1016.600812,299.657153,2,138,64,59,3,1.5,Rice
1997,BIJAPUR,Kharif     ,1016.505061,301.1153391,37593,98,39,67,132035,3.51222302,Maize
1997,BIJAPUR,Rabi       ,1015.058575,300.6906508,15892,140,71,70,35590,2.239491568,Maize
1997,BIJAPUR,Summer     ,1014.82847,301.3223694,2758,108,42,62,6624,2.401740392,Maize
1997,BIJAPUR,Kharif     ,1014.759705,301.494105,450,91,29,74,635,1.411111111,Rice
1997,CHIKMAGALUR,Kharif     ,1015.810559,297.3385884,340,141,78,68,742,2.182352941,Maize
1997,CHIKMAGALUR,Kharif     ,1016.391085,298.2107292,53900,109,30,99,60319,1.119090909,Ragi
1997,CHIKMAGALUR,Kharif     ,1017.645742,297.3780054,48109,129,60,76,112905,2.346858176,Rice
1997,CHIKMAGALUR,Summer     ,1017.366582,297.8980744,3431,64,60,96,12040,3.509180997,Rice
1997,CHITRADURGA,Kharif     ,1017.262111,301.8376841,109411,111,24,34,261359,2.38878175,Maize
1997,CHITRADURGA,Rabi       ,1015.323896,301.7074979,494,111,77,46,1010,2.044534413,Maize
1997,CHITRADURGA,Summer     ,1016.34402,301.2287503,45,96,20,87,97,2.155555556,Maize
1997,CHITRADURGA,Kharif     ,1014.387891,301.5390261,62426,111,36,99,53619,0.858920962,Ragi
1997,CHITRADURGA,Rabi       ,1016.135387,302.7343646,44,100,41,83,60,1.363636364,Ragi
1997,CHITRADURGA,Summer     ,1017.457269,302.6042455,1197,104,53,49,2072,1.730994152,Ragi
1997,CHITRADURGA,Kharif     ,1014.814018,302.6276473,39725,113,75,55,136465,3.435242291,Rice
1997,CHITRADURGA,Rabi       ,1016.808614,300.8788358,355,52,64,86,756,2.129577465,Rice
1997,CHITRADURGA,Summer     ,1014.430011,300.9327748,32958,100,60,68,110865,3.363826689,Rice
1997,DAKSHIN KANNAD,Kharif     ,1016.214518,300.1642955,92885,56,48,95,180119,1.939161329,Rice
1997,DAKSHIN KANNAD,Rabi       ,1015.03543,299.9741536,40539,70,23,74,78462,1.935469548,Rice
1997,DAKSHIN KANNAD,Summer     ,1015.194353,300.197321,5312,122,24,75,10650,2.004894578,Rice
1997,DHARWAD,Kharif     ,1014.813631,300.1840652,109236,88,30,87,281572,2.577648394,Maize
1997,DHARWAD,Rabi       ,1016.068937,300.251668,1789,67,75,63,3654,2.042481833,Maize
1997,DHARWAD,Summer     ,1015.454796,299.5151681,143,53,70,50,309,2.160839161,Maize
1997,DHARWAD,Kharif     ,1016.54113,300.5238662,5389,138,40,77,3889,0.721655224,Ragi
1997,DHARWAD,Kharif     ,1015.118561,299.7780161,89655,109,54,72,103406,1.153376833,Rice
1997,DHARWAD,Rabi       ,1017.614289,299.8237039,19,63,31,98,30,1.578947368,Rice
1997,DHARWAD,Summer     ,1016.761722,299.1350211,2464,58,45,42,6181,2.508522727,Rice
1997,GULBARGA,Kharif     ,1016.623967,301.2858293,1267,139,70,47,3407,2.689029203,Maize
1997,GULBARGA,Rabi       ,1014.498713,300.316426,228,102,38,35,462,2.026315789,Maize
1997,GULBARGA,Summer     ,1014.371214,301.7472584,126,51,64,56,271,2.150793651,Maize
